,Design Option,Category,Family,Type,Family and Type,Type Id,Type Name,Family Name,Host,Level,Moves With Nearby Elements,Offset from Host,Host Id,Phase Created,Phase Demolished,Height,Render Appearance,Elevation from Level,Type Comments,Area,Volume,Depth,Label,Material,Width,Toe Depth,Toe Height,Cabinet Material,Door/Drawer Material,Handle Material,Panel Face Material,Burner Material,Range Material,Base Level,Base Offset,Column Location Mark,Column Style,Moves With Grids,Room Bounding,Top Level,Top Offset,Length,Structural Material,Enable Analytical Model,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,b,h,Section Shape,Cross-Section Rotation,End Level Offset,Orientation,Reference Level,Reference Level Elevation,Start Level Offset,Work Plane,Elevation at Bottom,Elevation at Top,End Extension,Join Status,Start Extension,y Justification,y Offset Value,yz Justification,z Justification,z Offset Value,Cut Length,End Connection,Start Connection,Stick Symbol Location,Structural Usage,Height Offset From Level,Perimeter,Absorptance,Roughness,Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Mark,Bowl/Basin Material,Seat Material,Counter Height,Fixture Material,Sink Material,Length - Leg 1,Length - Leg 2,Sink Location,Sink Location To Wall,Sink Opening Depth,Sink Opening Width,Counter Thickness,Counter Top Material,Angle,Offset,Corner Mullion,Position,Profile,Width on side 1,Width on side 2,Trim Thickness,Trim Width,Frame Material,Offset from Path,Angled Joins,Baluster Offset,Landing Height Adjustment,Rail Connections,Railing Height,Tangent Joins,Use Landing Height Adjustment,Baluster Family,Baluster Length,Baluster Separation,Baluster Shape,Baluster Spacing Type (Stair Railing Only),Baluster Width,Balusters Per Tread (Stair Railing Only),Rail Shape,Railing Thickness,Railing Width,Lateral Offset,Down arrow,Down label,Down text,Show Up arrow in all views,Up arrow,Up label,Up text,Maximum Riser Height,Minimum Tread Depth,Extend Below Base,Function,Landing Overlap,Monolithic Stairs,Underside of Winder,Break Symbol in Plan,Text Font,Text Size,Monolithic Material,Riser Material,Stringer Material,Tread Material,Begin with Riser,End with Riser,Riser Thickness,Riser Type,Riser to Tread Connection,Landing Carriage Height,Left Stringer,Middle Stringers,Open Stringer Offset,Right Stringer,Stringer Carriage Height,Stringer Height,Stringer Thickness,Trim Stringers at Top,Apply Nosing Profile,Nosing Length,Nosing Profile,Tread Thickness,Rebar Cover,Diameter,Offset Base,Offset Top,Seat/Back Material,Base Material,Top Material,Cushion Material,Center Width,Mattress Material,Drawer Material,Dresser Material,Knob Material,Tubing Material,Sofa Material,Desk-Body,Handle/Leg Material,Centre Piece,Chair Side Spacing,Leg Spacing Length,Leg Spacing Width,Leg Width,Table Height,Table Top Thickness,Vis - End Chairs,Keynote,Material Chair Covering,Material Chair Structure,Material Table,Extrusion End,Extrusion Start,Level Offset,Related to Mass,Fascia Depth,Rafter Cut,Slope,Default Thickness,Span Direction,Structural,Display in Hidden Views,Sill Height,Head Height,Wall Closure,Trim Projection Ext,Trim Projection Int,Type Mark,Door Material,Rail Width - Base,Rail Width - Top,Stile Width - Hinge,Stile Width - Latch,Trim Projection,Default Sill Height,Window Inset,Frame Exterior Material,Frame Interior Material,Glass Pane Material,Sash,Trim Projection - Ext.,Trim Projection - Int.,Trim Width - Exterior,Trim Width - Interior,Sash Material,Trim Exterior Material,Trim Interior Material,Base Constraint,Base Extension Distance,Base is Attached,Location Line,Top Constraint,Top Extension Distance,Top is Attached,Unconnected Height,Wrapping at Ends,Wrapping at Inserts,Rebar Cover - Exterior Face,Rebar Cover - Interior Face
638232,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638233,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638234,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461688,None,461677,kuzey.dwg,kuzey.dwg,kuzey.dwg,kuzey.dwg,kuzey.dwg,Import Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190415,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190487,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410623,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410663,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410739,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410741,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410743,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410820,None,OST_Entourage,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,M_RPC Beetle,Level : 01 bodrum kat,01 bodrum kat,No,0.00,None,New Construction,None,0.00,Demo_VW_Beetle4.rpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491823,None,OST_Planting,Betula Pendula - 5.8 Meters,Betula Pendula - 5.8 Meters,Betula Pendula - 5.8 Meters,Betula Pendula - 5.8 Meters,Betula Pendula - 5.8 Meters,M_Tree - Deciduous,Surface,02 zemin kat,No,0.00,None,New Construction,None,5.80,,0.00,European Birch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492043,None,OST_Planting,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,M_Shrub,Surface,02 zemin kat,No,0.00,None,New Construction,None,1.50,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492187,None,OST_Planting,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,Hydrangea Macrophylla - 1.5 Meters,M_Shrub,Surface,02 zemin kat,No,0.00,None,New Construction,None,1.50,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491733,None,OST_Planting,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,M_Shrub,Surface,02 zemin kat,No,0.00,None,New Construction,None,2.50,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491848,None,OST_Planting,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,Rhododendron - 2.5 Meters,M_Shrub,Surface,02 zemin kat,No,0.00,None,New Construction,None,2.50,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471659,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : Generic 150mm,02 zemin kat,No,,None,New Construction,None,1.83,,-0.20,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473150,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : Generic 150mm,02 zemin kat,No,,None,New Construction,None,1.83,,-0.20,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473736,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : döşeme 32mm,03 1kat,No,,None,New Construction,None,1.83,,-3.05,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473738,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : döşeme 32mm,03 1kat,No,,None,New Construction,None,1.83,,-3.05,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473766,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : döşeme 32mm,04 2 kat,No,,None,New Construction,None,1.83,,-5.90,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473768,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : döşeme 32mm,04 2 kat,No,,None,New Construction,None,1.83,,-5.90,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473796,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : döşeme 32mm,05 3kat,No,,None,New Construction,None,1.83,,-8.75,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473798,None,OST_SpecialityEquipment,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,600 x 660mm,M_Refrigerator,Floor : döşeme 32mm,05 3kat,No,,None,New Construction,None,1.83,,-8.75,,5.06 m²,0.34 m³,0.66,REF.,11671,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218301,None,OST_SpecialityEquipment,1372mm,1372mm,1372mm,1372mm,1372mm,M_Kitchenette - Small,Level : 06 çatı kullanımı,06 çatı kullanımı,No,0.00,None,New Construction,None,0.90,,0.00,,5.96 m²,0.17 m³,0.61,,,1.37,0.04,0.10,181431,181431,181489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218502,None,OST_SpecialityEquipment,1372mm,1372mm,1372mm,1372mm,1372mm,M_Kitchenette - Small,Level : 06 çatı kullanımı,06 çatı kullanımı,No,0.00,None,New Construction,None,0.90,,0.00,,5.96 m²,0.17 m³,0.61,,,1.37,0.04,0.10,181431,181431,181489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473399,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : Generic 150mm,02 zemin kat,No,,None,New Construction,None,0.86,,-0.20,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473703,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : Generic 150mm,02 zemin kat,No,,None,New Construction,None,0.86,,-0.20,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473739,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : döşeme 32mm,03 1kat,No,,None,New Construction,None,0.86,,-3.05,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473740,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : döşeme 32mm,03 1kat,No,,None,New Construction,None,0.86,,-3.05,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473769,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : döşeme 32mm,04 2 kat,No,,None,New Construction,None,0.86,,-5.90,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473770,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : döşeme 32mm,04 2 kat,No,,None,New Construction,None,0.86,,-5.90,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473799,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : döşeme 32mm,05 3kat,No,,None,New Construction,None,0.86,,-8.75,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473800,None,OST_SpecialityEquipment,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,380 x 610 x 860mm,M_Trash Compactor,Floor : döşeme 32mm,05 3kat,No,,None,New Construction,None,0.86,,-8.75,,1.62 m²,0.21 m³,0.45,T,11671,0.56,,,,,,200201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
